state,constituency,candidate,party,party_normalized,alliance,votes,vote_share,total_votes,turnout,is_winner,position,margin,margin_pct,year
Uttar Pradesh,Uttar Pradesh PC 10,Candidate 5 (OTH),OTH,OTH,,80077,11.74,682233,76.9,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 11,Candidate 1 (SP),SP,SP,SP-BSP,267910,44.66,599906,75.2,True,1,21385,3.56,2019
Uttar Pradesh,Uttar Pradesh PC 11,Candidate 2 (BJP),BJP,BJP,NDA,246525,41.09,599906,69.0,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 11,Candidate 3 (TMC),TMC,TMC,,85469,14.25,599906,74.4,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 12,Candidate 1 (TMC),TMC,TMC,,295250,27.8,1061891,66.8,True,1,46159,4.35,2019
Uttar Pradesh,Uttar Pradesh PC 12,Candidate 2 (OTH),OTH,OTH,,249091,23.46,1061891,70.8,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 12,Candidate 3 (YSR),YSR,YSR,,212042,19.97,1061891,68.1,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 12,Candidate 4 (IND),IND,IND,,200655,18.9,1061891,70.0,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 12,Candidate 5 (BJP),BJP,BJP,NDA,104851,9.87,1061891,68.9,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 13,Candidate 1 (TMC),TMC,TMC,,181569,32.46,559428,60.9,True,1,5402,0.97,2019
Uttar Pradesh,Uttar Pradesh PC 13,Candidate 2 (BJP),BJP,BJP,NDA,176167,31.49,559428,64.1,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 13,Candidate 3 (AIADMK),AIADMK,AIADMK,NDA,125408,22.42,559428,68.1,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 13,Candidate 4 (SP),SP,SP,SP-BSP,76283,13.64,559428,67.6,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 14,Candidate 1 (BJP),BJP,BJP,NDA,308150,33.69,914796,75.6,True,1,100883,11.03,2019
Uttar Pradesh,Uttar Pradesh PC 14,Candidate 2 (SP),SP,SP,SP-BSP,207267,22.66,914796,64.4,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 14,Candidate 3 (YSR),YSR,YSR,,196583,21.49,914796,66.4,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 14,Candidate 4 (AIADMK),AIADMK,AIADMK,NDA,127953,13.99,914796,76.9,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 14,Candidate 5 (BRS),BRS,BRS,,41047,4.49,914796,60.4,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 14,Candidate 6 (IND),IND,IND,,33793,3.69,914796,72.8,False,6,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 15,Candidate 1 (BJP),BJP,BJP,NDA,352376,31.32,1125205,62.4,True,1,48035,4.27,2019
Uttar Pradesh,Uttar Pradesh PC 15,Candidate 2 (TDP),TDP,TDP,,304341,27.05,1125205,69.4,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 15,Candidate 3 (TMC),TMC,TMC,,279125,24.81,1125205,57.2,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 15,Candidate 4 (DMK),DMK,DMK,UPA,121237,10.77,1125205,64.6,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 15,Candidate 5 (BRS),BRS,BRS,,68123,6.05,1125205,69.2,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 16,Candidate 1 (BJP),BJP,BJP,NDA,568757,58.9,965566,59.9,True,1,287562,29.78,2019
Uttar Pradesh,Uttar Pradesh PC 16,Candidate 2 (TMC),TMC,TMC,,281195,29.12,965566,58.2,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 16,Candidate 3 (OTH),OTH,OTH,,115613,11.97,965566,65.3,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 17,Candidate 1 (DMK),DMK,DMK,UPA,259492,51.13,507544,75.3,True,1,48942,9.64,2019
Uttar Pradesh,Uttar Pradesh PC 17,Candidate 2 (BJP),BJP,BJP,NDA,210550,41.48,507544,69.0,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 17,Candidate 3 (SP),SP,SP,SP-BSP,37500,7.39,507544,77.4,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 18,Candidate 1 (INC),INC,INC,UPA,306832,43.0,713532,75.2,True,1,66793,9.36,2019
Uttar Pradesh,Uttar Pradesh PC 18,Candidate 2 (SP),SP,SP,SP-BSP,240039,33.64,713532,63.9,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 18,Candidate 3 (TMC),TMC,TMC,,84504,11.84,713532,60.1,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 18,Candidate 4 (BJP),BJP,BJP,NDA,82156,11.51,713532,62.6,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 19,Candidate 1 (SP),SP,SP,SP-BSP,212476,27.4,775328,72.1,True,1,8014,1.03,2019
Uttar Pradesh,Uttar Pradesh PC 19,Candidate 2 (JDU),JDU,JDU,NDA,204462,26.37,775328,66.7,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 19,Candidate 3 (BJP),BJP,BJP,NDA,168277,21.7,775328,62.1,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 19,Candidate 4 (TMC),TMC,TMC,,89059,11.49,775328,70.1,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 19,Candidate 5 (INC),INC,INC,UPA,51656,6.66,775328,77.1,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 19,Candidate 6 (OTH),OTH,OTH,,49395,6.37,775328,58.0,False,6,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 20,Candidate 1 (BJP),BJP,BJP,NDA,334372,42.96,778309,57.1,True,1,616,0.08,2019
Uttar Pradesh,Uttar Pradesh PC 20,Candidate 2 (SP),SP,SP,SP-BSP,333756,42.88,778309,62.6,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 20,Candidate 3 (INC),INC,INC,UPA,110180,14.16,778309,61.1,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 21,Candidate 1 (IND),IND,IND,,195901,30.65,639135,59.1,True,1,4463,0.7,2019
Uttar Pradesh,Uttar Pradesh PC 21,Candidate 2 (INC),INC,INC,UPA,191438,29.95,639135,77.7,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 21,Candidate 3 (BJP),BJP,BJP,NDA,171113,26.77,639135,60.5,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 21,Candidate 4 (AIADMK),AIADMK,AIADMK,NDA,80681,12.62,639135,67.8,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 22,Candidate 1 (INC),INC,INC,UPA,375859,38.66,972124,55.5,True,1,94257,9.7,2019
Uttar Pradesh,Uttar Pradesh PC 22,Candidate 2 (SP),SP,SP,SP-BSP,281602,28.97,972124,55.9,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 22,Candidate 3 (BRS),BRS,BRS,,192581,19.81,972124,57.0,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 22,Candidate 4 (BJP),BJP,BJP,NDA,79585,8.19,972124,64.9,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 22,Candidate 5 (DMK),DMK,DMK,UPA,42494,4.37,972124,61.4,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 23,Candidate 1 (TMC),TMC,TMC,,216261,39.21,551540,56.7,True,1,22078,4.0,2019
Uttar Pradesh,Uttar Pradesh PC 23,Candidate 2 (BJP),BJP,BJP,NDA,194183,35.21,551540,69.7,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 23,Candidate 3 (JDU),JDU,JDU,NDA,96149,17.43,551540,71.8,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 23,Candidate 4 (AIADMK),AIADMK,AIADMK,NDA,44945,8.15,551540,59.9,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 24,Candidate 1 (BJP),BJP,BJP,NDA,723944,78.21,925608,66.9,True,1,522281,56.43,2019
Uttar Pradesh,Uttar Pradesh PC 24,Candidate 2 (INC),INC,INC,UPA,201663,21.79,925608,59.8,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 25,Candidate 1 (JDU),JDU,JDU,NDA,233598,25.72,908080,68.3,True,1,27942,3.08,2019
Uttar Pradesh,Uttar Pradesh PC 25,Candidate 2 (INC),INC,INC,UPA,205656,22.65,908080,72.3,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 25,Candidate 3 (BJP),BJP,BJP,NDA,201208,22.16,908080,56.0,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 25,Candidate 4 (YSR),YSR,YSR,,194789,21.45,908080,75.1,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 25,Candidate 5 (SP),SP,SP,SP-BSP,72827,8.02,908080,59.8,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 26,Candidate 1 (IND),IND,IND,,197962,33.36,593371,57.5,True,1,58970,9.94,2019
Uttar Pradesh,Uttar Pradesh PC 26,Candidate 2 (BJP),BJP,BJP,NDA,138992,23.42,593371,68.5,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 26,Candidate 3 (TMC),TMC,TMC,,122166,20.59,593371,57.0,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 26,Candidate 4 (SP),SP,SP,SP-BSP,92412,15.57,593371,70.9,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 26,Candidate 5 (AIADMK),AIADMK,AIADMK,NDA,41836,7.05,593371,70.2,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 27,Candidate 1 (JDU),JDU,JDU,NDA,85988,21.04,408658,73.7,True,1,234,0.06,2019
Uttar Pradesh,Uttar Pradesh PC 27,Candidate 2 (SP),SP,SP,SP-BSP,85754,20.98,408658,75.7,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 27,Candidate 3 (BJP),BJP,BJP,NDA,82817,20.27,408658,71.3,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 27,Candidate 4 (TMC),TMC,TMC,,64925,15.89,408658,75.5,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 27,Candidate 5 (INC),INC,INC,UPA,48795,11.94,408658,65.4,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 27,Candidate 6 (BRS),BRS,BRS,,40376,9.88,408658,61.4,False,6,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 28,Candidate 1 (BJP),BJP,BJP,NDA,184103,33.44,550539,73.1,True,1,21178,3.85,2019
Uttar Pradesh,Uttar Pradesh PC 28,Candidate 2 (OTH),OTH,OTH,,162925,29.59,550539,58.7,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 28,Candidate 3 (JDU),JDU,JDU,NDA,102479,18.61,550539,68.1,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 28,Candidate 4 (AIADMK),AIADMK,AIADMK,NDA,101030,18.35,550539,62.9,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 29,Candidate 1 (OTH),OTH,OTH,,151715,32.2,471168,60.7,True,1,16662,3.54,2019
Uttar Pradesh,Uttar Pradesh PC 29,Candidate 2 (BJP),BJP,BJP,NDA,135053,28.66,471168,73.1,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 29,Candidate 3 (INC),INC,INC,UPA,111150,23.59,471168,56.5,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 29,Candidate 4 (SP),SP,SP,SP-BSP,73248,15.55,471168,69.9,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 30,Candidate 1 (AIADMK),AIADMK,AIADMK,NDA,365513,32.73,1116697,55.2,True,1,26193,2.35,2019
Uttar Pradesh,Uttar Pradesh PC 30,Candidate 2 (TDP),TDP,TDP,,339320,30.39,1116697,77.0,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 30,Candidate 3 (BJP),BJP,BJP,NDA,280865,25.15,1116697,77.6,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 30,Candidate 4 (TMC),TMC,TMC,,130998,11.73,1116697,67.2,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 31,Candidate 1 (OTH),OTH,OTH,,201816,25.79,782556,75.2,True,1,3086,0.39,2019
Uttar Pradesh,Uttar Pradesh PC 31,Candidate 2 (DMK),DMK,DMK,UPA,198730,25.4,782556,58.6,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 31,Candidate 3 (BJP),BJP,BJP,NDA,140972,18.01,782556,70.2,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 31,Candidate 4 (AIADMK),AIADMK,AIADMK,NDA,138737,17.73,782556,72.4,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 31,Candidate 5 (INC),INC,INC,UPA,102299,13.07,782556,60.8,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 32,Candidate 1 (BJP),BJP,BJP,NDA,200834,28.53,703820,67.5,True,1,9261,1.32,2019
Uttar Pradesh,Uttar Pradesh PC 32,Candidate 2 (TMC),TMC,TMC,,191573,27.22,703820,59.4,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 32,Candidate 3 (YSR),YSR,YSR,,154846,22.0,703820,56.5,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 32,Candidate 4 (SP),SP,SP,SP-BSP,120798,17.16,703820,63.9,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 32,Candidate 5 (INC),INC,INC,UPA,35767,5.08,703820,57.6,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 33,Candidate 1 (BJP),BJP,BJP,NDA,312026,35.09,889319,66.0,True,1,73484,8.26,2019
Uttar Pradesh,Uttar Pradesh PC 33,Candidate 2 (AIADMK),AIADMK,AIADMK,NDA,238542,26.82,889319,72.6,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 33,Candidate 3 (BRS),BRS,BRS,,187832,21.12,889319,72.7,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 33,Candidate 4 (TMC),TMC,TMC,,150917,16.97,889319,57.9,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 34,Candidate 1 (BJP),BJP,BJP,NDA,168138,40.21,418127,75.9,True,1,20459,4.89,2019
Uttar Pradesh,Uttar Pradesh PC 34,Candidate 2 (TMC),TMC,TMC,,147679,35.32,418127,71.3,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 34,Candidate 3 (DMK),DMK,DMK,UPA,102309,24.47,418127,68.6,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 35,Candidate 1 (JDU),JDU,JDU,NDA,251226,31.62,794427,62.4,True,1,15588,1.96,2019
Uttar Pradesh,Uttar Pradesh PC 35,Candidate 2 (SP),SP,SP,SP-BSP,235638,29.66,794427,76.1,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 35,Candidate 3 (BJP),BJP,BJP,NDA,231869,29.19,794427,68.0,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 35,Candidate 4 (TMC),TMC,TMC,,75692,9.53,794427,63.1,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 36,Candidate 1 (BJP),BJP,BJP,NDA,187753,46.6,402898,70.3,True,1,16078,3.99,2019
Uttar Pradesh,Uttar Pradesh PC 36,Candidate 2 (INC),INC,INC,UPA,171675,42.61,402898,58.0,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 36,Candidate 3 (BRS),BRS,BRS,,43468,10.79,402898,71.6,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 37,Candidate 1 (INC),INC,INC,UPA,276212,27.32,1011211,61.4,True,1,2350,0.23,2019
Uttar Pradesh,Uttar Pradesh PC 37,Candidate 2 (BJP),BJP,BJP,NDA,273862,27.08,1011211,57.9,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 37,Candidate 3 (DMK),DMK,DMK,UPA,250128,24.74,1011211,76.2,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 37,Candidate 4 (BRS),BRS,BRS,,137282,13.58,1011211,76.3,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 37,Candidate 5 (OTH),OTH,OTH,,73725,7.29,1011211,60.6,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 38,Candidate 1 (DMK),DMK,DMK,UPA,358093,30.25,1183824,76.2,True,1,982,0.08,2019
Uttar Pradesh,Uttar Pradesh PC 38,Candidate 2 (TMC),TMC,TMC,,357111,30.17,1183824,63.5,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 38,Candidate 3 (BJP),BJP,BJP,NDA,329356,27.82,1183824,74.3,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 38,Candidate 4 (BRS),BRS,BRS,,139262,11.76,1183824,55.2,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 39,Candidate 1 (TDP),TDP,TDP,,285246,45.97,620523,76.1,True,1,84861,13.68,2019
Uttar Pradesh,Uttar Pradesh PC 39,Candidate 2 (BJP),BJP,BJP,NDA,200385,32.29,620523,56.8,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 39,Candidate 3 (TMC),TMC,TMC,,134890,21.74,620523,63.8,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 40,Candidate 1 (BJP),BJP,BJP,NDA,377495,38.15,989483,64.8,True,1,69804,7.05,2019
Uttar Pradesh,Uttar Pradesh PC 40,Candidate 2 (TMC),TMC,TMC,,307691,31.1,989483,77.8,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 40,Candidate 3 (INC),INC,INC,UPA,304296,30.75,989483,66.3,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 41,Candidate 1 (JDU),JDU,JDU,NDA,238404,25.35,940310,67.2,True,1,20572,2.19,2019
Uttar Pradesh,Uttar Pradesh PC 41,Candidate 2 (BJP),BJP,BJP,NDA,217832,23.17,940310,69.4,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 41,Candidate 3 (OTH),OTH,OTH,,202835,21.57,940310,60.3,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 41,Candidate 4 (AIADMK),AIADMK,AIADMK,NDA,166383,17.69,940310,72.6,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 41,Candidate 5 (INC),INC,INC,UPA,114854,12.21,940310,63.2,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 42,Candidate 1 (BJP),BJP,BJP,NDA,429514,37.13,1156866,68.2,True,1,71726,6.2,2019
Uttar Pradesh,Uttar Pradesh PC 42,Candidate 2 (BRS),BRS,BRS,,357788,30.93,1156866,67.3,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 42,Candidate 3 (INC),INC,INC,UPA,185824,16.06,1156866,65.4,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 42,Candidate 4 (YSR),YSR,YSR,,98788,8.54,1156866,58.2,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 42,Candidate 5 (TMC),TMC,TMC,,84948,7.34,1156866,55.8,False,5,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 43,Candidate 1 (TDP),TDP,TDP,,319451,28.48,1121862,76.9,True,1,11754,1.05,2019
Uttar Pradesh,Uttar Pradesh PC 43,Candidate 2 (BJP),BJP,BJP,NDA,307697,27.43,1121862,75.5,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 43,Candidate 3 (OTH),OTH,OTH,,274342,24.45,1121862,70.7,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 43,Candidate 4 (SP),SP,SP,SP-BSP,220370,19.64,1121862,66.1,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 44,Candidate 1 (TMC),TMC,TMC,,350293,40.65,861723,70.2,True,1,64868,7.53,2019
Uttar Pradesh,Uttar Pradesh PC 44,Candidate 2 (SP),SP,SP,SP-BSP,285425,33.12,861723,73.1,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 44,Candidate 3 (BJP),BJP,BJP,NDA,114936,13.34,861723,70.7,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 44,Candidate 4 (DMK),DMK,DMK,UPA,111066,12.89,861723,63.7,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 45,Candidate 1 (INC),INC,INC,UPA,222793,34.75,641202,71.0,True,1,41005,6.4,2019
Uttar Pradesh,Uttar Pradesh PC 45,Candidate 2 (BRS),BRS,BRS,,181788,28.35,641202,62.2,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 45,Candidate 3 (TMC),TMC,TMC,,120248,18.75,641202,75.1,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 45,Candidate 4 (BJP),BJP,BJP,NDA,116371,18.15,641202,68.8,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 46,Candidate 1 (BJP),BJP,BJP,NDA,234990,41.75,562825,57.5,True,1,53169,9.45,2019
Uttar Pradesh,Uttar Pradesh PC 46,Candidate 2 (INC),INC,INC,UPA,181821,32.31,562825,74.0,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 46,Candidate 3 (YSR),YSR,YSR,,74003,13.15,562825,73.9,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 46,Candidate 4 (TMC),TMC,TMC,,72009,12.79,562825,73.5,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 47,Candidate 1 (BJP),BJP,BJP,NDA,167217,28.33,590305,70.4,True,1,3764,0.64,2019
Uttar Pradesh,Uttar Pradesh PC 47,Candidate 2 (TMC),TMC,TMC,,163453,27.69,590305,69.7,False,2,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 47,Candidate 3 (INC),INC,INC,UPA,132121,22.38,590305,60.4,False,3,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 47,Candidate 4 (TDP),TDP,TDP,,127512,21.6,590305,57.2,False,4,0,0,2019
Uttar Pradesh,Uttar Pradesh PC 48,Candidate 1 (BRS),BRS,BRS,,502331,42.78,1174144,63.3,True,1,93334,7.95,2019
Uttar Pradesh,Uttar Pradesh PC 48,Candidate 2 (IND),IND,IND,,408997,34.83,1174144,76.7,False,2,0,0,2019
