state,constituency,candidate,party,party_normalized,alliance,votes,vote_share,total_votes,turnout,is_winner,position,margin,margin_pct,year
Uttar Pradesh,Uttar Pradesh PC 6,Candidate 1 (BJP),BJP,BJP,NDA,221147,38.87,568963,62.8,True,1,56387,9.91,2024
Uttar Pradesh,Uttar Pradesh PC 6,Candidate 2 (YSR),YSR,YSR,,164760,28.96,568963,67.3,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 6,Candidate 3 (OTH),OTH,OTH,,110493,19.42,568963,59.9,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 6,Candidate 4 (TMC),TMC,TMC,INDIA,72561,12.75,568963,72.7,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 7,Candidate 1 (YSR),YSR,YSR,,211458,38.82,544658,65.1,True,1,14437,2.65,2024
Uttar Pradesh,Uttar Pradesh PC 7,Candidate 2 (BJP),BJP,BJP,NDA,197021,36.17,544658,58.7,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 7,Candidate 3 (JDU),JDU,JDU,NDA,68945,12.66,544658,66.1,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 7,Candidate 4 (DMK),DMK,DMK,INDIA,67231,12.34,544658,73.9,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 8,Candidate 1 (SP),SP,SP,INDIA,297060,30.99,958577,63.2,True,1,30253,3.16,2024
Uttar Pradesh,Uttar Pradesh PC 8,Candidate 2 (INC),INC,INC,INDIA,266807,27.83,958577,63.4,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 8,Candidate 3 (BJP),BJP,BJP,NDA,245055,25.56,958577,55.8,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 8,Candidate 4 (JDU),JDU,JDU,NDA,149653,15.61,958577,69.3,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 9,Candidate 1 (BJP),BJP,BJP,NDA,354544,41.53,853657,58.9,True,1,94079,11.02,2024
Uttar Pradesh,Uttar Pradesh PC 9,Candidate 2 (TDP),TDP,TDP,NDA,260465,30.51,853657,64.0,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 9,Candidate 3 (TMC),TMC,TMC,INDIA,129810,15.21,853657,71.2,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 9,Candidate 4 (SP),SP,SP,INDIA,108837,12.75,853657,62.1,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 10,Candidate 1 (BJP),BJP,BJP,NDA,294504,42.39,694772,71.0,True,1,86797,12.49,2024
Uttar Pradesh,Uttar Pradesh PC 10,Candidate 2 (SP),SP,SP,INDIA,207707,29.9,694772,69.4,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 10,Candidate 3 (YSR),YSR,YSR,,192559,27.72,694772,61.8,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 11,Candidate 1 (BJP),BJP,BJP,NDA,206361,28.3,729199,70.2,True,1,13237,1.82,2024
Uttar Pradesh,Uttar Pradesh PC 11,Candidate 2 (JDU),JDU,JDU,NDA,193124,26.48,729199,55.1,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 11,Candidate 3 (TMC),TMC,TMC,INDIA,167397,22.96,729199,75.7,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 11,Candidate 4 (SP),SP,SP,INDIA,162315,22.26,729199,65.9,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 12,Candidate 1 (DMK),DMK,DMK,INDIA,117212,28.59,409936,64.1,True,1,653,0.16,2024
Uttar Pradesh,Uttar Pradesh PC 12,Candidate 2 (INC),INC,INC,INDIA,116559,28.43,409936,68.8,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 12,Candidate 3 (BJP),BJP,BJP,NDA,101119,24.67,409936,68.2,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 12,Candidate 4 (AIADMK),AIADMK,AIADMK,,75045,18.31,409936,60.2,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 13,Candidate 1 (INC),INC,INC,INDIA,167304,33.52,499047,65.4,True,1,46010,9.22,2024
Uttar Pradesh,Uttar Pradesh PC 13,Candidate 2 (SP),SP,SP,INDIA,121294,24.31,499047,66.4,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 13,Candidate 3 (BJP),BJP,BJP,NDA,92357,18.51,499047,69.7,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 13,Candidate 4 (TMC),TMC,TMC,INDIA,67778,13.58,499047,64.3,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 13,Candidate 5 (YSR),YSR,YSR,,50311,10.08,499047,58.9,False,5,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 14,Candidate 1 (TMC),TMC,TMC,INDIA,384226,35.13,1093737,58.2,True,1,70298,6.43,2024
Uttar Pradesh,Uttar Pradesh PC 14,Candidate 2 (BJP),BJP,BJP,NDA,313928,28.7,1093737,55.1,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 14,Candidate 3 (SP),SP,SP,INDIA,268265,24.53,1093737,56.4,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 14,Candidate 4 (AIADMK),AIADMK,AIADMK,,127316,11.64,1093737,59.2,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 15,Candidate 1 (AIADMK),AIADMK,AIADMK,,261148,31.19,837196,70.5,True,1,1806,0.22,2024
Uttar Pradesh,Uttar Pradesh PC 15,Candidate 2 (BJP),BJP,BJP,NDA,259342,30.98,837196,72.1,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 15,Candidate 3 (OTH),OTH,OTH,,248009,29.62,837196,55.9,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 15,Candidate 4 (INC),INC,INC,INDIA,68696,8.21,837196,62.8,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 16,Candidate 1 (AIADMK),AIADMK,AIADMK,,227954,39.16,582143,70.2,True,1,49155,8.44,2024
Uttar Pradesh,Uttar Pradesh PC 16,Candidate 2 (BJP),BJP,BJP,NDA,178799,30.71,582143,63.4,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 16,Candidate 3 (TMC),TMC,TMC,INDIA,146052,25.09,582143,56.7,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 16,Candidate 4 (JDU),JDU,JDU,NDA,29337,5.04,582143,72.2,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 17,Candidate 1 (SP),SP,SP,INDIA,355143,48.21,736658,56.0,True,1,169988,23.08,2024
Uttar Pradesh,Uttar Pradesh PC 17,Candidate 2 (BJP),BJP,BJP,NDA,185155,25.13,736658,74.0,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 17,Candidate 3 (TMC),TMC,TMC,INDIA,106569,14.47,736658,62.4,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 17,Candidate 4 (INC),INC,INC,INDIA,89789,12.19,736658,55.9,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 18,Candidate 1 (BJP),BJP,BJP,NDA,213509,44.72,477410,73.9,True,1,25974,5.44,2024
Uttar Pradesh,Uttar Pradesh PC 18,Candidate 2 (YSR),YSR,YSR,,187535,39.28,477410,55.3,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 18,Candidate 3 (TMC),TMC,TMC,INDIA,45888,9.61,477410,56.8,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 18,Candidate 4 (INC),INC,INC,INDIA,30476,6.38,477410,62.9,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 19,Candidate 1 (BJP),BJP,BJP,NDA,373681,51.76,721915,58.4,True,1,72593,10.06,2024
Uttar Pradesh,Uttar Pradesh PC 19,Candidate 2 (AIADMK),AIADMK,AIADMK,,301088,41.71,721915,76.4,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 19,Candidate 3 (SP),SP,SP,INDIA,47145,6.53,721915,63.9,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 20,Candidate 1 (SP),SP,SP,INDIA,160192,36.33,440951,75.5,True,1,17934,4.07,2024
Uttar Pradesh,Uttar Pradesh PC 20,Candidate 2 (DMK),DMK,DMK,INDIA,142258,32.26,440951,58.2,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 20,Candidate 3 (OTH),OTH,OTH,,115160,26.12,440951,72.1,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 20,Candidate 4 (BJP),BJP,BJP,NDA,23339,5.29,440951,58.2,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 21,Candidate 1 (INC),INC,INC,INDIA,276833,39.1,708026,76.3,True,1,23704,3.35,2024
Uttar Pradesh,Uttar Pradesh PC 21,Candidate 2 (BRS),BRS,BRS,,253129,35.75,708026,70.2,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 21,Candidate 3 (TMC),TMC,TMC,INDIA,68460,9.67,708026,55.9,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 21,Candidate 4 (BJP),BJP,BJP,NDA,61849,8.74,708026,64.8,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 21,Candidate 5 (OTH),OTH,OTH,,47752,6.74,708026,65.2,False,5,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 22,Candidate 1 (BJP),BJP,BJP,NDA,356229,56.76,627585,70.9,True,1,84874,13.52,2024
Uttar Pradesh,Uttar Pradesh PC 22,Candidate 2 (INC),INC,INC,INDIA,271355,43.24,627585,61.6,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 23,Candidate 1 (YSR),YSR,YSR,,238138,37.0,643699,66.7,True,1,37938,5.89,2024
Uttar Pradesh,Uttar Pradesh PC 23,Candidate 2 (TMC),TMC,TMC,INDIA,200200,31.1,643699,66.2,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 23,Candidate 3 (AIADMK),AIADMK,AIADMK,,153175,23.8,643699,63.7,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 23,Candidate 4 (INC),INC,INC,INDIA,52184,8.11,643699,67.2,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 24,Candidate 1 (BJP),BJP,BJP,NDA,608942,52.88,1151603,76.0,True,1,319882,27.78,2024
Uttar Pradesh,Uttar Pradesh PC 24,Candidate 2 (DMK),DMK,DMK,INDIA,289060,25.1,1151603,58.5,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 24,Candidate 3 (SP),SP,SP,INDIA,253600,22.02,1151603,64.0,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 25,Candidate 1 (INC),INC,INC,INDIA,426047,35.65,1195162,63.0,True,1,37643,3.15,2024
Uttar Pradesh,Uttar Pradesh PC 25,Candidate 2 (JDU),JDU,JDU,NDA,388404,32.5,1195162,65.3,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 25,Candidate 3 (OTH),OTH,OTH,,380710,31.85,1195162,67.9,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 26,Candidate 1 (OTH),OTH,OTH,,172722,28.97,596120,67.0,True,1,15267,2.56,2024
Uttar Pradesh,Uttar Pradesh PC 26,Candidate 2 (BJP),BJP,BJP,NDA,157455,26.41,596120,61.7,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 26,Candidate 3 (DMK),DMK,DMK,INDIA,136618,22.92,596120,61.0,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 26,Candidate 4 (INC),INC,INC,INDIA,94570,15.86,596120,76.7,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 26,Candidate 5 (SP),SP,SP,INDIA,34753,5.83,596120,69.9,False,5,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 27,Candidate 1 (TMC),TMC,TMC,INDIA,418929,51.41,814875,68.1,True,1,22984,2.82,2024
Uttar Pradesh,Uttar Pradesh PC 27,Candidate 2 (BJP),BJP,BJP,NDA,395945,48.59,814875,63.7,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 28,Candidate 1 (SP),SP,SP,INDIA,204565,29.19,700920,77.5,True,1,51474,7.34,2024
Uttar Pradesh,Uttar Pradesh PC 28,Candidate 2 (BJP),BJP,BJP,NDA,153091,21.84,700920,61.9,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 28,Candidate 3 (INC),INC,INC,INDIA,135440,19.32,700920,61.5,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 28,Candidate 4 (AIADMK),AIADMK,AIADMK,,111147,15.86,700920,69.1,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 28,Candidate 5 (YSR),YSR,YSR,,96674,13.79,700920,67.9,False,5,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 29,Candidate 1 (TMC),TMC,TMC,INDIA,483641,43.85,1102930,71.3,True,1,16770,1.52,2024
Uttar Pradesh,Uttar Pradesh PC 29,Candidate 2 (BJP),BJP,BJP,NDA,466871,42.33,1102930,76.4,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 29,Candidate 3 (BRS),BRS,BRS,,152416,13.82,1102930,57.1,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 30,Candidate 1 (SP),SP,SP,INDIA,456966,40.15,1138268,75.2,True,1,172283,15.14,2024
Uttar Pradesh,Uttar Pradesh PC 30,Candidate 2 (YSR),YSR,YSR,,284683,25.01,1138268,63.2,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 30,Candidate 3 (INC),INC,INC,INDIA,274861,24.15,1138268,61.5,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 30,Candidate 4 (BJP),BJP,BJP,NDA,121755,10.7,1138268,67.3,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 31,Candidate 1 (BRS),BRS,BRS,,315953,50.19,629544,58.9,True,1,2363,0.38,2024
Uttar Pradesh,Uttar Pradesh PC 31,Candidate 2 (BJP),BJP,BJP,NDA,313590,49.81,629544,69.2,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 32,Candidate 1 (OTH),OTH,OTH,,466421,41.39,1127000,77.9,True,1,86125,7.64,2024
Uttar Pradesh,Uttar Pradesh PC 32,Candidate 2 (TMC),TMC,TMC,INDIA,380296,33.74,1127000,69.8,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 32,Candidate 3 (BJP),BJP,BJP,NDA,203022,18.01,1127000,71.0,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 32,Candidate 4 (INC),INC,INC,INDIA,77259,6.86,1127000,60.2,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 33,Candidate 1 (BJP),BJP,BJP,NDA,234859,32.92,713339,76.0,True,1,51849,7.27,2024
Uttar Pradesh,Uttar Pradesh PC 33,Candidate 2 (SP),SP,SP,INDIA,183010,25.66,713339,74.3,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 33,Candidate 3 (INC),INC,INC,INDIA,176835,24.79,713339,62.8,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 33,Candidate 4 (YSR),YSR,YSR,,87878,12.32,713339,76.5,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 33,Candidate 5 (AIADMK),AIADMK,AIADMK,,30755,4.31,713339,62.8,False,5,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 34,Candidate 1 (SP),SP,SP,INDIA,210919,29.2,722416,73.4,True,1,17209,2.38,2024
Uttar Pradesh,Uttar Pradesh PC 34,Candidate 2 (INC),INC,INC,INDIA,193710,26.81,722416,67.9,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 34,Candidate 3 (OTH),OTH,OTH,,163527,22.64,722416,55.5,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 34,Candidate 4 (BJP),BJP,BJP,NDA,154258,21.35,722416,76.9,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 35,Candidate 1 (SP),SP,SP,INDIA,429222,39.97,1073898,68.0,True,1,87257,8.13,2024
Uttar Pradesh,Uttar Pradesh PC 35,Candidate 2 (TDP),TDP,TDP,NDA,341965,31.84,1073898,63.9,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 35,Candidate 3 (BJP),BJP,BJP,NDA,302709,28.19,1073898,77.4,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 36,Candidate 1 (BJP),BJP,BJP,NDA,480276,52.38,916829,56.0,True,1,43724,4.77,2024
Uttar Pradesh,Uttar Pradesh PC 36,Candidate 2 (SP),SP,SP,INDIA,436552,47.62,916829,55.4,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 37,Candidate 1 (INC),INC,INC,INDIA,215367,29.36,733452,78.0,True,1,27397,3.74,2024
Uttar Pradesh,Uttar Pradesh PC 37,Candidate 2 (AIADMK),AIADMK,AIADMK,,187970,25.63,733452,57.2,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 37,Candidate 3 (BJP),BJP,BJP,NDA,167448,22.83,733452,55.1,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 37,Candidate 4 (SP),SP,SP,INDIA,162664,22.18,733452,68.4,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 38,Candidate 1 (TMC),TMC,TMC,INDIA,305936,34.07,898033,68.3,True,1,65340,7.28,2024
Uttar Pradesh,Uttar Pradesh PC 38,Candidate 2 (BJP),BJP,BJP,NDA,240596,26.79,898033,73.4,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 38,Candidate 3 (INC),INC,INC,INDIA,210776,23.47,898033,74.9,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 38,Candidate 4 (SP),SP,SP,INDIA,140722,15.67,898033,59.7,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 39,Candidate 1 (YSR),YSR,YSR,,366710,33.9,1081862,75.2,True,1,42215,3.9,2024
Uttar Pradesh,Uttar Pradesh PC 39,Candidate 2 (BJP),BJP,BJP,NDA,324495,29.99,1081862,61.6,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 39,Candidate 3 (INC),INC,INC,INDIA,307986,28.47,1081862,66.5,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 39,Candidate 4 (AIADMK),AIADMK,AIADMK,,82669,7.64,1081862,76.1,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 40,Candidate 1 (OTH),OTH,OTH,,465268,41.53,1120236,64.4,True,1,160432,14.32,2024
Uttar Pradesh,Uttar Pradesh PC 40,Candidate 2 (INC),INC,INC,INDIA,304836,27.21,1120236,55.3,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 40,Candidate 3 (DMK),DMK,DMK,INDIA,252542,22.54,1120236,71.3,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 40,Candidate 4 (BRS),BRS,BRS,,97588,8.71,1120236,63.1,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 41,Candidate 1 (BJP),BJP,BJP,NDA,650779,69.73,933295,72.3,True,1,368264,39.46,2024
Uttar Pradesh,Uttar Pradesh PC 41,Candidate 2 (TDP),TDP,TDP,NDA,282515,30.27,933295,60.3,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 42,Candidate 1 (BJP),BJP,BJP,NDA,344945,39.17,880583,74.9,True,1,38633,4.39,2024
Uttar Pradesh,Uttar Pradesh PC 42,Candidate 2 (OTH),OTH,OTH,,306312,34.79,880583,71.9,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 42,Candidate 3 (AIADMK),AIADMK,AIADMK,,229325,26.04,880583,70.3,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 43,Candidate 1 (INC),INC,INC,INDIA,418615,43.04,972572,64.6,True,1,15989,1.64,2024
Uttar Pradesh,Uttar Pradesh PC 43,Candidate 2 (BJP),BJP,BJP,NDA,402626,41.4,972572,67.8,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 43,Candidate 3 (BRS),BRS,BRS,,85205,8.76,972572,56.1,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 43,Candidate 4 (AIADMK),AIADMK,AIADMK,,66123,6.8,972572,73.0,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 44,Candidate 1 (OTH),OTH,OTH,,321344,30.57,1051041,71.2,True,1,12950,1.23,2024
Uttar Pradesh,Uttar Pradesh PC 44,Candidate 2 (JDU),JDU,JDU,NDA,308394,29.34,1051041,61.9,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 44,Candidate 3 (BJP),BJP,BJP,NDA,233788,22.24,1051041,65.4,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 44,Candidate 4 (TDP),TDP,TDP,NDA,128130,12.19,1051041,61.2,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 44,Candidate 5 (DMK),DMK,DMK,INDIA,59382,5.65,1051041,77.6,False,5,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 45,Candidate 1 (BJP),BJP,BJP,NDA,558591,54.06,1033247,61.4,True,1,227287,22.0,2024
Uttar Pradesh,Uttar Pradesh PC 45,Candidate 2 (INC),INC,INC,INDIA,331304,32.06,1033247,71.5,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 45,Candidate 3 (SP),SP,SP,INDIA,143350,13.87,1033247,67.2,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 46,Candidate 1 (BJP),BJP,BJP,NDA,410583,36.83,1114716,65.3,True,1,29187,2.62,2024
Uttar Pradesh,Uttar Pradesh PC 46,Candidate 2 (OTH),OTH,OTH,,381396,34.21,1114716,62.2,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 46,Candidate 3 (AIADMK),AIADMK,AIADMK,,259820,23.31,1114716,57.6,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 46,Candidate 4 (SP),SP,SP,INDIA,62914,5.64,1114716,76.2,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 47,Candidate 1 (TMC),TMC,TMC,INDIA,235533,32.36,727874,77.5,True,1,3220,0.44,2024
Uttar Pradesh,Uttar Pradesh PC 47,Candidate 2 (SP),SP,SP,INDIA,232313,31.92,727874,60.8,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 47,Candidate 3 (BJP),BJP,BJP,NDA,164473,22.6,727874,68.1,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 47,Candidate 4 (INC),INC,INC,INDIA,95553,13.13,727874,75.4,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 48,Candidate 1 (YSR),YSR,YSR,,243272,29.43,826569,74.3,True,1,36924,4.47,2024
Uttar Pradesh,Uttar Pradesh PC 48,Candidate 2 (BJP),BJP,BJP,NDA,206348,24.96,826569,65.7,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 48,Candidate 3 (SP),SP,SP,INDIA,187570,22.69,826569,76.0,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 48,Candidate 4 (TMC),TMC,TMC,INDIA,122075,14.77,826569,59.5,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 48,Candidate 5 (INC),INC,INC,INDIA,67302,8.14,826569,69.1,False,5,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 49,Candidate 1 (INC),INC,INC,INDIA,691763,59.93,1154202,60.3,True,1,438035,37.95,2024
Uttar Pradesh,Uttar Pradesh PC 49,Candidate 2 (BRS),BRS,BRS,,253728,21.98,1154202,76.9,False,2,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 49,Candidate 3 (BJP),BJP,BJP,NDA,127040,11.01,1154202,73.3,False,3,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 49,Candidate 4 (SP),SP,SP,INDIA,81669,7.08,1154202,66.7,False,4,0,0,2024
Uttar Pradesh,Uttar Pradesh PC 50,Candidate 1 (DMK),DMK,DMK,INDIA,110695,26.83,412610,69.4,True,1,4241,1.03,2024
Uttar Pradesh,Uttar Pradesh PC 50,Candidate 2 (BJP),BJP,BJP,NDA,106454,25.8,412610,57.3,False,2,0,0,2024
